epoch,params
0,55745
1,55745
2,55745
3,55745
4,55745
5,55745
6,55745
7,55745
8,55745
9,55745
10,55745
11,55745
12,55745
13,55745
14,55745
15,55745
16,55745
17,55745
18,55745
19,55745
20,55745
21,55745
22,55745
23,55745
24,55745
25,55745
26,55745
27,55745
28,55745
29,55745
30,55745
31,55745
32,55745
33,55745
34,55745
35,55745
36,55745
37,55745
38,55745
39,55745
40,55745
41,55745
42,55745
43,55745
44,55745
45,55745
46,55745
47,55745
48,55745
49,55745
50,55745
51,55745
52,55745
53,55745
54,55745
55,55745
56,55745
57,55745
58,55745
59,55745
60,55745
61,55745
62,55745
63,55745
64,55745
65,55745
66,55745
67,55745
68,55745
69,55745
70,55745
71,55745
72,55745
73,55745
74,55745
75,55745
76,55745
77,55745
78,83905
79,83905
80,83905
81,83905
82,83905
83,83905
84,83905
85,83905
86,83905
87,83905
88,83905
89,83905
90,83905
91,83905
92,83905
93,83905
94,83905
95,83905
96,83905
97,83905
98,83905
99,83905
100,83905
101,83905
102,83905
103,83905
104,83905
105,83905
106,83905
107,83905
108,83905
109,83905
110,83905
111,83905
112,83905
113,83905
114,83905
115,83905
116,83905
117,83905
118,83905
119,83905
120,83905
121,83905
122,83905
123,83905
124,83905
125,83905
126,83905
127,83905
128,83905
129,83905
130,83905
131,83905
132,83905
133,83905
134,83905
135,83905
136,83905
137,83905
138,83905
139,83905
140,83905
141,83905
142,83905
143,113025
144,113025
145,113025
146,113025
147,113025
148,113025
149,113025
150,113025
151,113025
152,113025
153,113025
154,113025
155,113025
156,113025
157,113025
158,113025
159,113025
160,113025
161,113025
162,113025
163,113025
164,113025
165,113025
166,113025
167,113025
168,113025
169,113025
170,113025
171,113025
172,113025
173,113025
174,113025
175,113025
176,113025
177,113025
178,113025
179,113025
180,113025
181,113025
182,113025
183,113025
184,113025
185,113025
186,113025
187,113025
188,113025
189,113025
190,113025
191,113025
192,113025
193,113025
194,113025
195,113025
196,113025
197,113025
198,113025
199,113025
200,113025
201,113025
202,113025
203,113025
204,113025
205,113025
206,113025
207,113025
208,113025
209,113025
210,113025
211,113025
212,113025
213,113025
214,113025
215,113025
216,113025
217,113025
218,113025
219,113025
220,113025
221,113025
222,113025
223,113025
224,113025
225,113025
226,113025
227,113025
228,142785
229,142785
230,142785
231,142785
232,142785
233,142785
234,142785
235,142785
236,142785
237,142785
238,142785
239,142785
240,142785
241,142785
242,142785
243,142785
244,142785
245,142785
246,142785
247,142785
248,142785
249,142785
250,142785
251,142785
252,142785
253,142785
254,142785
255,142785
256,142785
257,142785
258,142785
259,142785
260,142785
261,142785
262,142785
263,142785
264,142785
265,142785
266,142785
267,142785
268,142785
269,142785
270,142785
271,142785
272,142785
273,142785
274,142785
275,142785
276,142785
277,142785
278,142785
279,142785
280,142785
281,142785
282,142785
283,142785
284,142785
285,142785
286,142785
287,142785
288,142785
289,142785
290,142785
291,173185
292,173185
293,173185
294,173185
295,173185
296,173185
297,173185
298,173185
299,173185
300,173185
301,173185
302,173185
303,173185
304,173185
305,173185
306,173185
307,173185
308,173185
309,173185
310,173185
311,173185
312,173185
313,173185
314,173185
315,173185
316,173185
317,173185
318,173185
319,173185
320,173185
321,173185
322,173185
323,173185
324,173185
325,173185
326,173185
327,173185
328,173185
329,173185
330,173185
331,173185
332,173185
333,173185
334,173185
335,173185
336,173185
337,173185
338,173185
339,173185
340,173185
341,173185
342,173185
343,173185
344,173185
345,173185
346,173185
347,173185
348,173185
349,173185
350,173185
351,173185
352,173185
353,173185
354,173185
355,173185
356,173185
357,173185
358,173185
359,173185
360,173185
361,173185
362,173185
363,173185
364,173185
365,173185
366,173185
367,173185
368,173185
369,173185
370,173185
371,173185
372,173185
373,173185
374,173185
375,173185
376,173185
377,173185
378,173185
379,173185
380,173185
381,173185
382,173185
383,173185
384,173185
385,173185
386,173185
387,173185
388,173185
389,173185
390,173185
391,173185
392,173185
393,173185
394,173185
395,173185
396,173185
397,173185
398,173185
399,173185
400,173185
401,173185
402,173185
403,173185
404,173185
405,173185
406,173185
407,173185
408,173185
409,173185
410,173185
411,173185
412,173185
413,173185
414,173185
415,173185
416,173185
417,173185
418,173185
419,173185
420,173185
421,173185
422,173185
423,173185
424,173185
425,173185
426,173185
427,173185
428,204225
429,204225
430,204225
431,204225
432,204225
433,204225
434,204225
435,204225
436,204225
437,204225
438,204225
439,204225
440,204225
441,204225
442,204225
443,204225
444,204225
445,204225
446,204225
447,204225
448,204225
449,204225
450,204225
451,204225
452,204225
453,204225
454,204225
455,204225
456,204225
457,204225
458,204225
459,204225
460,204225
461,204225
462,204225
463,204225
464,204225
465,204225
466,204225
467,204225
468,204225
469,204225
470,204225
471,204225
472,204225
473,204225
474,204225
475,204225
476,204225
477,204225
478,204225
479,204225
480,204225
481,204225
482,204225
483,204225
484,204225
485,204225
486,204225
487,204225
488,204225
489,204225
490,204225
491,204225
492,204225
493,204225
494,204225
495,204225
496,204225
497,204225
498,204225
499,204225
500,204225
501,204225
502,204225
503,204225
504,204225
505,204225
506,204225
507,204225
508,204225
509,204225
510,204225
511,204225
512,204225
513,204225
514,204225
515,204225
516,204225
517,204225
518,204225
519,204225
520,204225
521,204225
522,204225
523,204225
524,204225
525,204225
526,204225
527,204225
528,204225
529,235905
530,235905
531,235905
532,235905
533,235905
534,235905
535,235905
536,235905
537,235905
538,235905
539,235905
540,235905
541,235905
542,235905
543,235905
544,235905
545,235905
546,235905
547,235905
548,235905
549,235905
550,235905
551,235905
552,235905
553,235905
554,235905
555,235905
556,235905
557,235905
558,235905
559,235905
560,235905
561,235905
562,235905
563,235905
564,235905
565,235905
566,235905
567,235905
568,235905
569,235905
570,235905
571,235905
572,235905
573,235905
574,235905
575,235905
576,235905
577,235905
578,235905
579,235905
580,235905
581,235905
582,235905
583,235905
584,235905
585,235905
586,235905
587,235905
588,235905
589,235905
590,235905
591,235905
592,235905
593,235905
594,235905
595,235905
596,235905
597,235905
598,235905
599,268225
600,268225
601,268225
602,268225
603,268225
604,268225
605,268225
606,268225
607,268225
608,268225
609,268225
610,268225
611,268225
612,268225
613,268225
614,268225
615,268225
616,268225
617,268225
618,268225
619,268225
620,268225
621,268225
622,268225
623,268225
624,268225
625,268225
626,268225
627,268225
628,268225
629,268225
630,268225
631,268225
632,268225
633,268225
634,268225
635,268225
636,268225
637,268225
638,268225
639,268225
640,268225
641,268225
642,268225
643,268225
644,268225
645,268225
646,268225
647,268225
648,268225
649,268225
650,268225
651,268225
652,268225
653,268225
654,268225
655,268225
656,268225
657,268225
658,268225
659,268225
660,268225
661,301185
662,301185
663,301185
664,301185
665,301185
666,301185
667,301185
668,301185
669,301185
670,301185
671,301185
672,301185
673,301185
674,301185
675,301185
676,301185
677,301185
678,301185
679,301185
680,301185
681,301185
682,301185
683,301185
684,301185
685,301185
686,301185
687,301185
688,301185
689,301185
690,301185
691,301185
692,301185
693,301185
694,301185
695,301185
696,301185
697,301185
698,301185
699,301185
700,301185
701,301185
702,301185
703,301185
704,301185
705,301185
706,301185
707,301185
708,301185
709,301185
710,301185
711,301185
712,301185
713,301185
714,301185
715,301185
716,301185
717,301185
718,301185
719,301185
720,301185
721,301185
722,301185
723,301185
724,301185
725,301185
726,301185
727,301185
728,301185
729,301185
730,301185
731,301185
732,301185
733,301185
734,301185
735,301185
736,301185
737,301185
738,301185
739,301185
