Epochs,Normal Epoch Times,PAI Epoch Times
0,1.6868500709533691,
1,0.7465054988861084,
2,0.7394359111785889,
3,0.7433254718780518,
4,0.8481647968292236,
5,0.7616908550262451,
6,0.7480707168579102,
7,0.7341809272766113,
8,0.9369022846221924,
9,0.8153088092803955,
10,0.7093250751495361,
11,0.7054727077484131,
12,0.8276596069335938,
13,0.7514915466308594,
14,0.7208237648010254,
15,0.7465920448303223,
16,0.897022008895874,
17,0.758673906326294,
18,0.7664780616760254,
19,0.7512373924255371,
20,0.8746209144592285,
