Epochs,Validation Scores,Validation Running Scores
0,0.638602776533811,
1,0.6394984326018809,
2,0.6309896999552171,
3,0.6345723242274967,
4,0.6480071652485445,
5,0.645320197044335,
6,0.6569637259292431,
7,0.6448723690103001,
8,0.6435288849081953,
9,0.6444245409762651,
10,0.6547245857590686,
11,0.6484549932825795,
12,0.6497984773846843,
13,0.6524854455888939,
14,0.6538289296909987,
15,0.6493506493506493,
16,0.6426332288401254,
17,0.6529332736229287,
18,0.6502463054187192,
19,0.6489028213166145,
20,0.651589789520824,
21,0.6565158978952083,
22,0.6484549932825795,
23,0.6484549932825795,
24,0.6497984773846843,
25,0.6444245409762651,
0,,0.638602776533811
1,,0.6394984326018809
2,,0.6309896999552171
3,,0.6345723242274967
4,,0.6480071652485445
5,,0.645320197044335
6,,0.6569637259292431
7,,0.6448723690103001
8,,0.6435288849081953
9,,0.6444245409762651
10,,0.6547245857590686
11,,0.6484549932825795
12,,0.6497984773846843
13,,0.6524854455888939
14,,0.6538289296909987
15,,0.6493506493506493
16,,0.6426332288401254
17,,0.6529332736229287
18,,0.6502463054187192
19,,0.6489028213166145
20,,0.651589789520824
21,,0.6565158978952083
22,,0.6484549932825795
23,,0.6484549932825795
24,,0.6497984773846843
25,,0.6444245409762651
