Epochs,Normal Epoch Times,PAI Epoch Times
0,1.5990002155303955,
1,0.8336443901062012,
2,1.0868680477142334,
3,1.0425941944122314,
4,1.2116248607635498,
5,1.3043768405914307,
6,1.4857842922210693,
7,1.8213269710540771,
8,2.0267534255981445,
9,2.3018012046813965,
10,2.670013189315796,
11,4.499369144439697,
12,3.1762733459472656,
13,4.512141227722168,
14,6.0323803424835205,
15,5.416703462600708,
16,4.305555582046509,
17,4.214648723602295,
18,6.000315427780151,
19,6.083914041519165,
20,7.393447160720825,
21,7.764547109603882,
22,6.782452583312988,
23,6.536911487579346,
24,8.849164485931396,
25,8.863171339035034,
26,10.563872814178467,
27,10.099125623703003,
28,11.933181524276733,
29,10.000746488571167,
30,12.5512216091156,
31,12.94859004020691,
32,12.241647720336914,
33,13.659240484237671,
34,14.09618616104126,
35,14.16813325881958,
36,15.3194260597229,
37,16.87830352783203,
38,16.931874752044678,
39,16.208869695663452,
40,18.9086697101593,
41,19.842023611068726,
42,25.506309270858765,
43,24.990376234054565,
44,25.401061296463013,
45,22.895523071289062,
46,20.41480588912964,
47,22.042742490768433,
48,21.60885453224182,
49,23.67461061477661,
50,24.428277015686035,
51,29.258155345916748,
52,28.771758556365967,
53,31.647083282470703,
