Epochs,Normal Epoch Train Times,PAI Epoch Train Times,Normal Epoch Val Times,PAI Epoch Val Times
0,,,45.951523542404175,
1,,,30.700181245803833,
2,,,30.700023412704468,
3,,,31.01726722717285,
4,,,31.525355577468872,
5,,,30.734883546829224,
6,,,30.437962293624878,
7,,,30.674859762191772,
8,,,30.536240816116333,
9,,,30.59458327293396,
10,,,30.44793462753296,
11,,,30.65815043449402,
12,,,30.90494418144226,
13,,,30.550703525543213,
14,,,30.797411680221558,
15,,,31.41409969329834,
16,,,30.440740823745728,
17,,,31.496199369430542,
18,,,30.981306552886963,
19,,,2.9788031578063965,
20,,,59.83815097808838,
21,,,59.09294295310974,
22,,,59.50256633758545,
23,,,58.77689075469971,
24,,,59.98886466026306,
25,,,59.11447715759277,
26,,,59.88071823120117,
27,,,60.06647849082947,
28,,,59.78263568878174,
29,,,59.63987183570862,
30,,,59.38261294364929,
