Epochs,Normal Epoch Train Times,PAI Epoch Train Times,Normal Epoch Val Times,PAI Epoch Val Times
0,,,45.951523542404175,
1,,,30.700181245803833,
2,,,30.700023412704468,
3,,,31.01726722717285,
4,,,31.525355577468872,
5,,,30.734883546829224,
6,,,30.437962293624878,
7,,,30.674859762191772,
8,,,30.536240816116333,
9,,,30.59458327293396,
10,,,30.44793462753296,
11,,,30.65815043449402,
12,,,30.90494418144226,
13,,,30.550703525543213,
14,,,30.797411680221558,
15,,,31.41409969329834,
16,,,30.440740823745728,
17,,,31.496199369430542,
18,,,30.981306552886963,
19,,,30.708638191223145,
20,,,30.356041431427002,
21,,,30.257020473480225,
22,,,30.773210287094116,
23,,,30.32689905166626,
24,,,30.902013778686523,
25,,,30.41425395011902,
26,,,30.220237493515015,
27,,,30.891804456710815,
28,,,30.148300170898438,
