Epochs,Validation Scores,Validation Running Scores,Train Loss
0,88.43657651145237,,
1,88.96185267466281,,
2,88.76332655901014,,
3,88.77530147830618,,
4,88.7396244074217,,
5,88.68212187663538,,
6,88.72882991598654,,
7,88.76726481795572,,
8,88.6821880688519,,
9,88.67656973757248,,
0,,88.43657651145237,
1,,88.96185267466281,
2,,88.76332655901014,
3,,88.77530147830618,
4,,88.7396244074217,
5,,88.68212187663538,
6,,88.72882991598654,
7,,88.76726481795572,
8,,88.6821880688519,
9,,88.67656973757248,
0,,,0.025904884895620248
1,,,0.0207181225453193
2,,,0.005828934750105772
3,,,0.005498253944420463
4,,,0.005111762304376397
5,,,0.004899474386669074
6,,,0.004611988761300583
7,,,0.0043416583359228555
8,,,0.004229347778406615
9,,,0.0039971692684856765
