Epochs,Validation Scores,Validation Running Scores,Train Loss
0,89.18060407117707,,
1,89.09959725370757,,
2,88.93674963242789,,
3,88.89332486936391,,
4,88.93764731988014,,
5,88.98010766946717,,
6,88.68245372739821,,
7,88.884951909849,,
8,88.8554321385874,,
9,88.97013915724973,,
10,88.81025612876327,,
11,88.88939675277408,,
12,88.84422323405487,,
13,88.86222698313425,,
14,88.72714023510517,,
15,88.72964023683045,,
0,,89.18060407117707,
1,,89.09959725370757,
2,,88.93674963242789,
3,,88.89332486936391,
4,,88.93764731988014,
5,,88.98010766946717,
6,,88.68245372739821,
7,,88.884951909849,
8,,88.8554321385874,
9,,88.97013915724973,
10,,88.81025612876327,
11,,88.88939675277408,
12,,88.84422323405487,
13,,88.86222698313425,
14,,88.72714023510517,
15,,88.72964023683045,
0,,,0.02387402736219681
1,,,0.015026584942178386
2,,,0.0025454418848514454
3,,,0.0026098437353438285
4,,,0.00246585754963841
5,,,0.002406211063741163
6,,,0.0023923494592761724
7,,,0.0024956852078806455
8,,,0.00232799373625312
9,,,0.002309226413005187
10,,,0.002239407024009981
11,,,0.0022279582469814665
12,,,0.0021739359340345902
13,,,0.002150973487813543
14,,,0.0020852169558768056
15,,,0.001967780232209609
