Epochs,learning_rate
0,4.2222885660640085e-05
1,4.2222885660640085e-05
2,4.2222885660640085e-05
3,4.2222885660640085e-05
4,4.2222885660640085e-05
5,4.2222885660640085e-05
6,4.2222885660640085e-05
7,4.2222885660640085e-05
8,4.2222885660640085e-05
