Epochs,Validation Scores,Validation Running Scores,Train Loss
0,89.18060407117707,,
1,89.09959725370757,,
2,88.83460383239863,,
3,88.71108702117971,,
4,88.94998380526201,,
5,88.78294988216095,,
6,88.62841080754035,,
7,88.86801559922868,,
8,88.93205728043522,,
9,88.72235464461397,,
10,88.86356043601177,,
11,88.79699846836847,,
12,88.8674244956179,,
13,88.88678251609451,,
14,88.80454082232798,,
0,,89.18060407117707,
1,,89.09959725370757,
2,,88.83460383239863,
3,,88.71108702117971,
4,,88.94998380526201,
5,,88.78294988216095,
6,,88.62841080754035,
7,,88.86801559922868,
8,,88.93205728043522,
9,,88.72235464461397,
10,,88.86356043601177,
11,,88.79699846836847,
12,,88.8674244956179,
13,,88.88678251609451,
14,,88.80454082232798,
0,,,0.02387402736219681
1,,,0.015026584942178386
2,,,0.0035047359169564315
3,,,0.00357702527010891
4,,,0.0034047947265207767
5,,,0.0033014679654216807
6,,,0.003190429232846428
7,,,0.0029915914815824684
8,,,0.002839729856673835
9,,,0.0028662888090669487
10,,,0.0027678451043256147
11,,,0.002870362370675947
12,,,0.0026439103257467245
13,,,0.002500351890274841
14,,,0.0024780411564279347
