Epochs,Validation Scores,Validation Running Scores,Train Loss
0,88.93894571935267,,
1,89.17057185784805,,
2,89.03934667832017,,
3,88.91199054060829,,
4,88.76717442643427,,
5,88.77570735047239,,
6,88.82214314764279,,
7,88.81782161441134,,
0,,88.93894571935267,
1,,89.17057185784805,
2,,89.03934667832017,
3,,88.91199054060829,
4,,88.76717442643427,
5,,88.77570735047239,
6,,88.82214314764279,
7,,88.81782161441134,
0,,,0.024653691402636468
1,,,0.01810299441955673
2,,,0.01462509378260519
3,,,0.012058806788021077
4,,,0.009991652757162229
5,,,0.00833016069437791
6,,,0.007545700493695525
7,,,0.006586590405398359
