Epochs,Validation Scores,Validation Running Scores,Train Loss
0,88.43657651145237,,
1,88.96185267466281,,
2,88.8968415977695,,
3,88.88823287296731,,
4,88.75288349130503,,
5,88.8037991848055,,
6,88.81195826516925,,
7,88.75727851213169,,
8,88.78204258616114,,
0,,88.43657651145237,
1,,88.96185267466281,
2,,88.8968415977695,
3,,88.88823287296731,
4,,88.75288349130503,
5,,88.8037991848055,
6,,88.81195826516925,
7,,88.75727851213169,
8,,88.78204258616114,
0,,,0.025904884895620248
1,,,0.0207181225453193
2,,,0.010138910206862622
3,,,0.009020932484418154
4,,,0.008259774027262919
5,,,0.007608672930251082
6,,,0.006951899407431484
7,,,0.006557615215489123
8,,,0.005961918102952444
