Epochs,Validation Scores,Validation Running Scores
0,0.38,
1,0.32,
2,0.38,
3,0.4,
4,0.41,
5,0.42,
6,0.32,
7,0.38,
8,0.47,
9,0.38,
10,0.48,
11,0.39,
0,,0.38
1,,0.32
2,,0.38
3,,0.4
4,,0.41
5,,0.42
6,,0.32
7,,0.38
8,,0.47
9,,0.38
10,,0.48
11,,0.39
