Epochs,Validation Scores,Validation Running Scores,Train Loss
0,0.3985625463724136,,
1,0.42163654088974,,
2,0.4816302675008774,,
3,0.5125635337829589,,
4,0.5526082217693329,,
5,0.5731055164337158,,
6,0.5989039242267609,,
7,0.6198196125030517,,
0,,0.3985625463724136,
1,,0.42163654088974,
2,,0.4816302675008774,
3,,0.5125635337829589,
4,,0.5526082217693329,
5,,0.5731055164337158,
6,,0.5989039242267609,
7,,0.6198196125030517,
0,,,0.2288873264193535
1,,,0.13056276470422745
2,,,0.08107432386279106
3,,,0.051691764011979106
4,,,0.037999330520629884
5,,,0.03240607804059982
6,,,0.028245634824037552
7,,,0.020718943685293197
