Epochs,learning_rate
0,0.0001
1,0.0001
2,0.0001
3,0.0001
4,0.0001
5,0.0001
6,0.0001
7,0.0001
8,0.0001
9,0.0001
10,0.0001
11,0.0001
12,0.0001
13,0.0001
14,0.0001
15,0.0001
16,0.0001
17,0.0001
18,0.0001
19,0.0001
20,0.0001
21,0.0001
22,0.0001
23,0.0001
24,0.0001
25,0.0001
26,0.0001
27,0.0001
28,0.0001
29,0.0001
30,0.0001
31,0.0001
32,0.0001
33,5e-05
34,5e-05
35,5e-05
36,5e-05
37,5e-05
38,5e-05
39,5e-05
40,5e-05
41,5e-05
42,5e-05
43,5e-05
44,5e-05
45,5e-05
46,5e-05
47,5e-05
48,5e-05
49,5e-05
50,5e-05
51,5e-05
52,5e-05
53,5e-05
54,5e-05
55,5e-05
56,2.5e-05
57,2.5e-05
58,2.5e-05
59,2.5e-05
60,2.5e-05
61,2.5e-05
62,2.5e-05
63,2.5e-05
64,2.5e-05
65,2.5e-05
66,2.5e-05
67,2.5e-05
68,2.5e-05
69,2.5e-05
70,1.25e-05
71,1.25e-05
72,1.25e-05
73,1.25e-05
74,1.25e-05
75,1.25e-05
76,1.25e-05
77,1.25e-05
78,1.25e-05
79,1.25e-05
80,6.25e-06
81,6.25e-06
82,6.25e-06
83,0.0001
84,0.0001
85,0.0001
86,0.0001
87,0.0001
88,0.0001
89,0.0001
90,0.0001
91,5e-05
92,5e-05
93,5e-05
94,5e-05
95,5e-05
96,5e-05
97,5e-05
98,5e-05
99,5e-05
100,5e-05
101,5e-05
102,5e-05
103,5e-05
104,5e-05
105,5e-05
106,5e-05
107,5e-05
108,5e-05
109,5e-05
110,5e-05
111,5e-05
112,5e-05
113,2.5e-05
114,2.5e-05
115,2.5e-05
116,2.5e-05
117,2.5e-05
118,2.5e-05
119,1.25e-05
120,1.25e-05
121,1.25e-05
122,1.25e-05
123,1.25e-05
124,1.25e-05
125,6.25e-06
126,6.25e-06
127,6.25e-06
128,6.25e-06
129,6.25e-06
130,6.25e-06
131,3.125e-06
