Epochs,Validation Scores,Validation Running Scores,Train
54,,,77.1875
55,,,75.3125
56,,,77.65625
57,,,79.140625
58,,,81.640625
59,,,81.015625
60,,,80.546875
61,,,80.9375
62,,,81.5625
63,,,81.71875
64,,,80.234375
65,,,82.8125
66,,,82.109375
67,,,79.21875
68,,,82.96875
69,,,82.65625
70,,,83.59375
71,,,82.578125
72,,,84.140625
73,,,84.140625
74,,,84.140625
75,,,86.5625
76,,,85.78125
77,,,80.546875
78,,,83.4375
79,,,81.953125
80,,,82.109375
81,,,82.5
82,,,83.046875
83,,,84.296875
84,,,83.90625
85,,,83.828125
86,,,83.203125
87,,,84.53125
88,,,83.90625
89,,,85.546875
90,,,84.0625
91,,,86.484375
92,,,87.109375
93,,,86.953125
94,,,87.421875
95,,,88.515625
96,,,87.890625
97,,,88.046875
98,,,89.140625
99,,,89.296875
100,,,90.703125
101,,,88.203125
102,,,89.453125
103,,,90.703125
104,,,89.84375
105,,,90.859375
106,,,90.703125
107,,,90.625
108,,,90.859375
109,,,90.390625
110,,,91.09375
111,,,92.1875
112,,,91.71875
113,,,91.09375
114,,,91.484375
115,,,91.25
116,,,91.015625
117,,,90.859375
118,,,91.71875
119,,,92.109375
120,,,91.71875
121,,,92.265625
122,,,91.328125
123,,,91.328125
124,,,92.8125
125,,,92.421875
126,,,91.796875
127,,,91.953125
128,,,92.109375
129,,,86.015625
130,,,86.953125
131,,,87.8125
132,,,87.1875
133,,,88.046875
134,,,87.421875
135,,,88.59375
136,,,88.671875
137,,,87.421875
138,,,88.828125
139,,,88.59375
140,,,89.765625
141,,,90.46875
142,,,89.21875
143,,,89.375
144,,,89.609375
145,,,91.09375
146,,,91.484375
147,,,90.9375
148,,,88.4375
149,,,91.328125
150,,,90.546875
151,,,90.390625
152,,,92.1875
153,,,92.109375
154,,,93.125
155,,,92.890625
156,,,94.375
157,,,94.453125
158,,,93.75
