Epochs,Validation Scores,Validation Running Scores
0,0.22431576251983643,
1,0.20716512203216553,
2,0.2235856056213379,
3,0.21884676814079285,
4,0.1578211784362793,
5,0.16233593225479126,
6,0.11461057513952255,
7,0.16274785995483398,
8,0.14664939045906067,
9,0.12850338220596313,
10,0.1407068371772766,
11,0.13459333777427673,
12,0.1573992818593979,
0,,0.22431576251983643
1,,0.20716512203216553
2,,0.2235856056213379
3,,0.21884676814079285
4,,0.1578211784362793
5,,0.16233593225479126
6,,0.11461057513952255
7,,0.16274785995483398
8,,0.14664939045906067
9,,0.12850338220596313
10,,0.1407068371772766
11,,0.13459333777427673
12,,0.1573992818593979
