Epochs,Validation Scores,Validation Running Scores
0,0.05,
1,0.6,
2,0.05,
3,0.2,
4,0.55,
5,0.4,
6,0.6,
7,0.65,
8,0.75,
9,0.8,
10,0.7,
11,0.9,
12,0.75,
13,0.75,
14,0.9,
15,0.95,
16,0.9,
17,0.8,
18,0.95,
19,1.0,
20,0.95,
21,1.0,
22,1.0,
0,,0.05
1,,0.6
2,,0.05
3,,0.2
4,,0.55
5,,0.4
6,,0.6
7,,0.65
8,,0.75
9,,0.8
10,,0.7
11,,0.9
12,,0.75
13,,0.75
14,,0.9
15,,0.95
16,,0.9
17,,0.8
18,,0.95
19,,1.0
20,,0.95
21,,1.0
22,,1.0
