Epochs,Validation Scores,Validation Running Scores,train
0,48.0,,
1,48.0,,
2,48.0,,
3,50.0,,
4,48.0,,
5,48.0,,
6,52.0,,
7,52.0,,
8,45.0,,
9,44.5,,
10,48.5,,
11,44.5,,
0,,48.0,
1,,48.0,
2,,48.0,
3,,50.0,
4,,48.0,
5,,48.0,
6,,52.0,
7,,52.0,
8,,45.0,
9,,44.5,
10,,48.5,
11,,44.5,
0,,,47.0
1,,,49.1
2,,,55.2
3,,,53.8
4,,,56.4
5,,,60.7
6,,,64.9
7,,,69.8
8,,,73.4
9,,,80.2
10,,,85.2
11,,,87.8
