Epochs,Validation Scores,Validation Running Scores,train
0,48.0,,
1,48.0,,
2,48.0,,
3,50.0,,
4,47.0,,
0,,48.0,
1,,48.0,
2,,48.0,
3,,50.0,
4,,47.0,
0,,,47.0
1,,,49.1
2,,,55.2
3,,,53.8
4,,,59.1
