Epochs,Validation Scores,Validation Running Scores,train
0,48.0,,
1,48.0,,
2,48.0,,
3,50.0,,
4,48.0,,
5,48.0,,
6,52.0,,
7,47.5,,
8,48.0,,
9,47.5,,
10,53.0,,
11,47.5,,
12,51.5,,
13,43.0,,
0,,48.0,
1,,48.0,
2,,48.0,
3,,50.0,
4,,48.0,
5,,48.0,
6,,52.0,
7,,47.5,
8,,48.0,
9,,47.5,
10,,53.0,
11,,47.5,
12,,51.5,
13,,43.0,
0,,,47.0
1,,,49.1
2,,,55.2
3,,,53.8
4,,,56.4
5,,,60.7
6,,,64.9
7,,,59.1
8,,,71.0
9,,,75.9
10,,,83.4
11,,,87.9
12,,,92.7
13,,,94.8
