Epochs,Normal Epoch Times,PAI Epoch Times
0,40.43706917762756,
1,32.07540845870972,
2,32.518903732299805,
3,31.893462657928467,
4,34.243191719055176,
5,32.161073207855225,
6,32.175214767456055,
7,33.56754398345947,
8,35.65239500999451,
9,34.283960580825806,
10,33.64639449119568,
11,34.955326080322266,
12,34.977389335632324,
13,36.496047019958496,
14,36.534661293029785,
15,37.79947304725647,
16,34.73592805862427,
17,34.61863660812378,
18,33.683066606521606,
19,33.896347522735596,
20,33.984211444854736,
21,33.8476824760437,
22,34.742116928100586,
23,34.84106802940369,
24,35.61604905128479,
25,37.61840081214905,
26,394.89919805526733,
27,32.479193687438965,
28,43.45401930809021,
29,76.2510929107666,
30,88.88335919380188,
31,89.73651504516602,
32,71.38120889663696,
33,31.022763967514038,
34,32.403095722198486,
35,31.881523609161377,
36,31.986762285232544,
